Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DD,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2012-12-31,16.372102737426758,67.00223541259766,49.98421859741211,63.15088653564453,68.37106323242188,42.025001525878906,14.491233825683594,72.06513214111328,45.263736724853516,35.52437973022461,108.48257446289062,49.74803161621094,49.55222702026367,125.40396881103516,15.498608589172363,53.7397346496582,33.3157958984375,26.650915145874023,67.44322967529297,70.2539291381836,28.633363723754883,22.08639144897461,23.1624755859375,50.99623107910156,57.24894332885742,46.653526306152344,35.41988754272461,27.464948654174805,28.32933235168457,54.851322174072266
2013-01-02,16.89080047607422,69.29523468017578,51.266990661621094,64.58384704589844,71.33906555175781,42.79249954223633,15.000083923339844,73.56454467773438,46.45465087890625,36.31551742553711,111.96939086914062,51.05908966064453,50.551544189453125,128.5465087890625,16.069843292236328,54.30702590942383,34.07108688354492,27.643428802490234,68.903564453125,71.7142333984375,28.913127899169922,22.838863372802734,23.270204544067383,52.12298583984375,58.077945709228516,46.91154479980469,36.307838439941406,28.09967803955078,29.133066177368164,55.663265228271484
2013-01-03,16.677595138549805,68.85993957519531,51.485145568847656,64.91905975341797,72.02576446533203,42.1775016784668,15.081205368041992,73.25131225585938,46.55464172363281,36.42539596557617,111.3570785522461,50.914310455322266,50.74672317504883,127.83937072753906,16.024744033813477,54.230377197265625,34.002410888671875,27.643428802490234,69.2934799194336,71.63101959228516,29.605520248413086,22.532915115356445,23.50811195373535,51.79246139526367,58.524314880371094,44.718204498291016,36.33588409423828,27.96639633178711,28.926387786865234,55.30953598022461
2013-01-04,16.213048934936523,69.16307830810547,52.0174560546875,65.1033935546875,72.42249298095703,42.40250015258789,15.103326797485352,73.63786315917969,47.445560455322266,36.952823638916016,114.39317321777344,50.817806243896484,51.78507614135742,127.0013656616211,15.904486656188965,54.85132598876953,34.6051139831543,27.687545776367188,68.6971206665039,72.16065979003906,29.35373306274414,22.111196517944336,23.737049102783203,51.89762878417969,59.034481048583984,44.80422592163086,36.63264083862305,28.11872673034668,28.459463119506836,55.518577575683594
2013-01-07,16.117677688598633,68.81330108642578,52.235618591308594,63.796138763427734,72.64376068115234,42.244998931884766,14.963211059570312,73.13804626464844,46.33646011352539,36.90887451171875,114.18053436279297,50.54432678222656,51.80850601196289,126.44493865966797,15.972131729125977,54.736331939697266,34.64325714111328,27.422868728637695,69.50757598876953,72.25146484375,29.458654403686523,22.06985855102539,23.772951126098633,51.544586181640625,58.23735809326172,44.80422592163086,36.894351959228516,28.366281509399414,29.11009979248047,54.98798370361328
2013-01-08,16.161060333251953,68.5179443359375,52.532310485839844,62.12013626098633,71.7205810546875,42.49250030517578,14.977959632873535,72.8115234375,46.14555358886719,36.37046432495117,113.15153503417969,50.84996795654297,51.324462890625,126.26818084716797,15.851872444152832,54.7440071105957,34.7119026184082,27.231714248657227,69.53050994873047,72.25902557373047,29.500614166259766,21.95408821105957,23.521577835083008,51.46195602416992,58.34098434448242,44.21074676513672,37.23784255981445,27.675983428955078,29.217254638671875,55.140716552734375
2013-01-09,15.908482551574707,68.9221420288086,52.58467102050781,64.32408142089844,72.05628204345703,42.95750045776367,14.970584869384766,72.99810028076172,46.163734436035156,36.80998229980469,114.2315673828125,50.80974578857422,51.94902801513672,125.90808868408203,16.122455596923828,54.98931884765625,34.68903350830078,27.224363327026367,69.43110656738281,72.94756317138672,29.787370681762695,22.078123092651367,23.54402732849121,51.73988342285156,58.93882369995117,45.0450553894043,37.80564880371094,27.61176872253418,29.43158721923828,55.124637603759766
2013-01-10,16.105682373046875,68.25365447998047,53.04715347290039,64.6006088256836,72.54460144042969,43.279998779296875,15.073835372924805,73.61786651611328,46.172828674316406,37.183570861816406,116.825439453125,51.171695709228516,51.855342864990234,126.27467346191406,16.385530471801758,55.34196853637695,35.207801818847656,27.172903060913086,69.88223266601562,73.31077575683594,29.920246124267578,21.87966537475586,23.588909149169922,52.03282165527344,59.34535217285156,45.68157196044922,37.50656509399414,27.990633010864258,29.5234432220459,54.9558219909668
2013-01-11,16.00692367553711,67.59295654296875,53.439842224121094,62.9832649230957,72.62853240966797,43.337501525878906,15.103326797485352,74.45752716064453,45.98191833496094,37.2055549621582,116.62134552001953,51.23605728149414,51.76946258544922,127.30252838134766,16.535856246948242,55.464622497558594,35.20016860961914,27.136146545410156,70.134521484375,72.8492202758789,30.2349853515625,22.185625076293945,23.835796356201172,51.99527359008789,59.66420364379883,45.43212127685547,37.65846252441406,27.80440330505371,29.929136276245117,55.172889709472656
2013-01-14,15.436236381530762,67.5618667602539,53.41365432739258,64.14808654785156,72.20123291015625,43.502498626708984,15.464682579040527,75.20390319824219,45.99100875854492,37.66704559326172,115.7708740234375,51.05908966064453,52.120784759521484,126.10445404052734,16.535856246948242,55.6256103515625,35.00181579589844,27.194965362548828,69.98161315917969,73.45451354980469,30.31192398071289,22.235239028930664,23.876197814941406,52.30324935913086,59.7439079284668,45.89658737182617,37.539276123046875,27.348493576049805,29.883203506469727,54.90760803222656
